SPLC,lon,lat
692958,-100.292356,29.201238
686251,-95.366986,29.208041
491930,-81.025296,29.210093
491927,-81.454427,29.212935
686243,-95.346093,29.228985
687920,-98.799072,29.232575
692770,-99.79037,29.233402
692701,-99.802343,29.235271
692952,-100.184274,29.235514
687481,-98.485421,29.235989
686572,-96.200481,29.23805
491925,-81.466204,29.241575
692784,-100.085142,29.243085
689357,-98.077803,27.748287
499182,-80.054265,26.595322
497749,-82.424479,27.955934
689226,-97.692289,27.750406
497638,-81.783544,27.956441
497687,-81.805573,27.751734
496747,-80.439324,27.751929
499137,-80.069077,26.616735
497800,-82.447117,27.957167
497651,-81.970802,27.958497
497695,-81.973062,27.75314
497801,-82.401622,27.959526
497810,-82.376974,27.962638
497942,-82.796917,27.969045
497745,-82.338927,27.971931
688895,-97.676734,27.973431
497947,-82.738502,27.977628
497746,-82.30335,27.977715
688872,-97.398723,27.978715
497928,-82.708327,27.980185
497931,-82.749119,27.980499
497637,-81.755244,27.981354
497744,-82.277667,27.982555
497731,-82.104899,27.984397
497927,-82.698447,27.986285
497751,-82.161065,27.991805
497742,-82.219685,27.994116
497702,-82.525848,28.001233
496193,-80.566089,28.003564
497632,-81.914516,28.014829
497719,-82.121848,28.016876
497631,-81.924496,28.023973
497728,-82.441551,28.031011
497733,-82.484112,28.033033
497625,-82.012435,28.034369
497860,-82.523209,28.037103
497923,-82.680141,28.038121
698697,-99.356064,28.038496
496191,-80.588858,28.044964
497615,-81.89752,28.046109
497620,-81.950872,28.046223
497617,-81.910297,28.047095
497611,-81.858457,28.047105
497619,-81.922277,28.047985
497850,-82.447923,28.050699
688840,-97.507691,28.035394
497514,-81.795439,28.060212
497727,-82.448907,28.065585
497713,-82.137607,28.076565
496188,-80.605557,28.080125
497741,-82.449977,28.080455
497608,-81.996397,28.080505
698691,-99.342457,28.082836
497532,-81.728706,28.095087
688833,-97.825003,28.096046
497605,-82.010921,28.101653
688810,-97.449901,28.1127
497520,-81.623495,28.115232
497607,-82.027617,28.123195
698693,-99.32971,28.124149
497606,-82.042873,28.14288
497710,-82.15301,28.157419
497709,-82.154612,28.165747
688490,-97.391237,28.17046
497468,-82.157637,28.181595
497517,-81.593779,28.18709
497476,-82.462856,28.211497
497515,-81.57843,28.216692
497465,-82.17158,28.224014
496170,-80.676988,28.231589
497474,-82.481427,28.235515
497501,-81.564887,28.240905
688470,-97.325259,28.246881
496531,-81.486515,28.258923
496539,-81.460376,28.260685
496538,-81.54342,28.261069
496176,-80.693522,28.274955
497462,-82.143266,28.277689
698677,-99.284752,28.280185
496532,-81.403985,28.293804
688450,-97.271262,28.304927
496175,-80.712463,28.315377
497450,-82.517797,28.324505
688648,-98.112845,28.337228
496169,-80.731276,28.349117
497430,-82.188247,28.375065
688440,-97.1896,28.388444
688642,-98.156676,28.392206
496159,-80.7533,28.400433
496488,-81.375659,28.408108
496148,-80.766094,28.431273
497394,-82.455617,28.440675
698650,-99.234476,28.441815
688633,-98.186638,28.459339
497384,-82.444287,28.462766
497412,-82.171786,28.466022
496484,-81.369877,28.471885
497383,-82.407427,28.489425
496133,-80.784341,28.492288
688190,-96.758925,28.5372
688163,-96.777812,28.507197
688180,-96.780993,28.511564
688413,-97.052435,28.516317
688160,-96.785812,28.51831
698633,-99.214662,28.518885
497353,-82.385923,28.53937
496440,-81.380817,28.544665
497354,-82.385862,28.545198
688290,-97.006384,28.558999
496474,-81.586687,28.564755
496472,-81.546707,28.570505
688140,-96.836061,28.585475
688629,-98.215117,28.585609
688634,-98.223276,28.589948
496435,-81.351667,28.597705
698632,-99.18996,28.60107
496420,-81.418755,28.605595
497345,-82.414858,28.607701
497174,-82.137579,28.611099
496130,-80.810423,28.611927
497349,-82.413575,28.613908
688130,-96.627493,28.615095
496473,-81.497154,28.616911
496464,-81.443617,28.622585
688279,-96.876212,28.625331
496438,-81.365437,28.627485
496461,-81.464184,28.638011
688610,-98.282785,28.639657
497348,-82.473353,28.640702
688277,-96.894212,28.643155
688278,-96.894033,28.645825
499330,-81.859835,26.64141
499171,-80.737398,26.66773
499168,-80.698502,26.671203
499325,-81.816704,26.677143
499169,-80.808943,26.685331
689355,-98.204355,27.756575
499175,-80.869671,26.688985
499176,-80.814243,26.689085
499178,-80.822867,26.689144
699140,-98.246562,27.762995
499172,-80.879077,26.690035
689580,-97.769142,26.693302
497970,-82.650829,27.770164
689237,-97.911053,27.780155
689215,-97.547393,27.784745
497684,-81.813036,27.785123
689244,-97.487905,27.785651
497689,-81.940376,27.787823
689227,-97.714852,27.795218
689225,-97.633633,27.783833
497692,-81.888838,27.797221
497670,-81.980268,27.799222
497672,-81.905895,27.799588
689233,-97.785435,27.803145
497792,-82.375212,27.804388
497967,-82.676647,27.806475
497854,-82.375235,27.807703
689102,-97.41253,27.807976
689100,-97.40761,27.80628
689111,-97.457653,27.812745
496717,-80.470588,27.816836
497681,-81.820847,27.820538
497671,-82.023292,27.823512
497669,-81.977391,27.824378
689212,-97.510659,27.834329
497971,-82.709042,27.835546
497697,-81.921415,27.836098
497656,-81.908496,27.836236
497694,-81.970113,27.841167
497592,-82.04227,27.842717
497657,-81.866393,27.84749
689251,-97.61768,27.848552
497973,-82.733137,27.857185
497665,-81.968142,27.858965
497667,-81.826238,27.859494
497764,-82.547928,27.859743
497698,-81.930704,27.860505
497763,-82.398617,27.861018
497701,-82.530662,27.863298
497591,-82.066129,27.864682
497739,-82.091494,27.86492
497658,-82.061246,27.866538
497956,-82.745375,27.868127
699355,-99.401163,27.871508
497766,-82.523524,27.872179
497534,-81.969259,27.874139
496199,-80.502687,27.875293
689222,-97.622895,27.876004
497762,-82.391203,27.878501
497940,-82.51566,27.884395
497564,-81.646288,27.885928
497654,-82.029508,27.887148
497645,-81.930285,27.890515
497646,-81.921669,27.891006
497664,-81.914293,27.891351
497647,-81.92771,27.891921
497653,-81.96562,27.893954
497648,-81.875805,27.897729
497955,-82.774617,27.898382
497507,-81.862419,27.898382
497650,-81.847353,27.900299
688867,-97.249014,27.90049
497649,-81.832245,27.900641
497551,-81.62482,27.900789
688863,-97.142224,27.903552
497777,-82.42486,27.905407
497560,-81.588224,27.906487
497781,-82.397644,27.908077
497735,-82.187396,27.910187
497734,-82.107838,27.912561
497852,-82.424161,27.912578
497549,-81.983856,27.912941
497550,-81.981852,27.91622
497812,-82.440867,27.916435
497953,-82.790201,27.920411
497748,-82.397574,27.921034
688875,-97.292798,27.923364
688882,-97.600593,27.927758
496197,-80.527236,27.928965
497540,-81.68273,27.930965
497802,-82.438434,27.935797
497952,-82.794933,27.938956
497757,-82.277597,27.943245
688861,-97.113375,27.9453
497830,-82.471277,27.946365
497755,-82.252074,27.947713
688881,-97.581451,27.947778
688880,-97.581638,27.949718
497948,-82.797425,27.950071
499164,-80.676755,26.696992
499163,-80.67209,26.711102
499214,-80.902921,26.7113
499322,-81.823764,26.715063
499140,-80.05829,26.736286
