Number of Locomotive,Locomotive Battery Capacity,Locomotive per charger,Charger Type,Electricity Rate,Total energy [MWh],Total Charger Needed,Total Charging Time per locomotive [hrs],Station Utilization,Capital cost [$/kWh],O&M less energy [$/kWh],Energy [$/kWh],Total charging cost [$/kWh],Charging station capital investment,Annual O&M cost (w/energy cost)
26,10000,6,"3000kW, Pantograph",US,260,5,3.5,0.875,0.0192,0.0075,0.1014,0.1281,7991774.85,8571982.77
27,10000,1,"3000kW, Pantograph",US,270,27,3.5,0.1458,0.0849,0.0333,0.1014,0.2196,44569364.53,10882781.46
27,10000,2,"3000kW, Pantograph",US,270,14,3.5,0.2917,0.0449,0.0175,0.1014,0.1639,22535138.61,9671732.82
27,10000,3,"3000kW, Pantograph",US,270,9,3.5,0.4375,0.0311,0.0121,0.1014,0.1447,14903121.51,9259274.99
27,10000,4,"3000kW, Pantograph",US,270,7,3.5,0.5833,0.0249,0.0096,0.1014,0.136,11518025.65,9066208.5
27,10000,5,"3000kW, Pantograph",US,270,6,3.5,0.7292,0.0207,0.008,0.1014,0.1301,9142237.98,8939838.67
27,10000,6,"3000kW, Pantograph",US,270,5,3.5,0.875,0.019,0.0074,0.1014,0.1278,8197017.1,8893999.59
28,10000,1,"3000kW, Pantograph",US,280,28,3.5,0.1458,0.0847,0.0332,0.1014,0.2194,46121730.76,11278456.87
28,10000,2,"3000kW, Pantograph",US,280,14,3.5,0.2917,0.0445,0.0174,0.1014,0.1633,23095865.38,10017192.1
28,10000,3,"3000kW, Pantograph",US,280,10,3.5,0.4375,0.0315,0.0122,0.1014,0.1451,15707852.05,9605545.47
28,10000,4,"3000kW, Pantograph",US,280,7,3.5,0.5833,0.0247,0.0095,0.1014,0.1357,11798389.04,9393140.94
28,10000,5,"3000kW, Pantograph",US,280,6,3.5,0.7292,0.0205,0.0079,0.1014,0.1298,9366528.69,9263065.73
28,10000,6,"3000kW, Pantograph",US,280,5,3.5,0.875,0.0188,0.0073,0.1014,0.1275,8402259.36,9216016.41
29,10000,1,"3000kW, Pantograph",US,290,29,3.5,0.1458,0.0846,0.0331,0.1014,0.2191,47674097,11674132.27
29,10000,2,"3000kW, Pantograph",US,290,15,3.5,0.2917,0.0447,0.0174,0.1014,0.1635,24087504.85,10375813.81
29,10000,3,"3000kW, Pantograph",US,290,10,3.5,0.4375,0.0312,0.0121,0.1014,0.1447,16081669.9,9938653.52
29,10000,4,"3000kW, Pantograph",US,290,8,3.5,0.5833,0.0245,0.0094,0.1014,0.1353,12078752.42,9720073.37
29,10000,5,"3000kW, Pantograph",US,290,6,3.5,0.7292,0.0203,0.0078,0.1014,0.1295,9590819.4,9586292.8
29,10000,6,"3000kW, Pantograph",US,290,5,3.5,0.875,0.0187,0.0072,0.1014,0.1273,8607501.62,9538033.22
30,10000,1,"3000kW, Pantograph",US,300,30,3.5,0.1458,0.0844,0.033,0.1014,0.2189,49226463.24,12069807.68
30,10000,2,"3000kW, Pantograph",US,300,15,3.5,0.2917,0.0443,0.0172,0.1014,0.163,24648231.62,10721273.1
30,10000,3,"3000kW, Pantograph",US,300,10,3.5,0.4375,0.031,0.012,0.1014,0.1443,16455487.75,10271761.57
30,10000,4,"3000kW, Pantograph",US,300,8,3.5,0.5833,0.0243,0.0093,0.1014,0.135,12359115.81,10047005.8
30,10000,5,"3000kW, Pantograph",US,300,6,3.5,0.7292,0.0208,0.0079,0.1014,0.1301,10246022.8,9922682.29
30,10000,6,"3000kW, Pantograph",US,300,5,3.5,0.875,0.0176,0.0067,0.1014,0.1257,8262743.87,9822250.04
31,10000,1,"3000kW, Pantograph",US,310,31,3.5,0.1458,0.0849,0.0331,0.1014,0.2195,51209742.17,12478645.51
31,10000,2,"3000kW, Pantograph",US,310,16,3.5,0.2917,0.0446,0.0172,0.1014,0.1632,25639871.08,11079894.8
31,10000,3,"3000kW, Pantograph",US,310,11,3.5,0.4375,0.0313,0.012,0.1014,0.1448,17260218.29,10618032.04
31,10000,4,"3000kW, Pantograph",US,310,8,3.5,0.5833,0.0247,0.0094,0.1014,0.1355,13070391.89,10387100.66
31,10000,5,"3000kW, Pantograph",US,310,7,3.5,0.7292,0.0206,0.0078,0.1014,0.1298,10470313.51,10245909.35
31,10000,6,"3000kW, Pantograph",US,310,6,3.5,0.875,0.0181,0.0068,0.1014,0.1263,8880565.49,10156169.28
32,10000,1,"3000kW, Pantograph",US,320,32,3.5,0.1458,0.0848,0.033,0.1014,0.2193,52762108.4,12874320.91
32,10000,2,"3000kW, Pantograph",US,320,16,3.5,0.2917,0.0448,0.0173,0.1014,0.1635,26631510.55,11438516.51
32,10000,3,"3000kW, Pantograph",US,320,11,3.5,0.4375,0.0311,0.0119,0.1014,0.1444,17634036.13,10951140.09
32,10000,4,"3000kW, Pantograph",US,320,8,3.5,0.5833,0.0245,0.0093,0.1014,0.1352,13350755.27,10714033.1
32,10000,5,"3000kW, Pantograph",US,320,7,3.5,0.7292,0.0205,0.0077,0.1014,0.1296,10694604.22,10569136.41
32,10000,6,"3000kW, Pantograph",US,320,6,3.5,0.875,0.018,0.0067,0.1014,0.1261,9067474.41,10476926.1
33,10000,1,"3000kW, Pantograph",US,330,33,3.5,0.1458,0.0847,0.033,0.1014,0.2191,54314474.64,13269996.32
33,10000,2,"3000kW, Pantograph",US,330,17,3.5,0.2917,0.0444,0.0171,0.1014,0.163,27192237.32,11783975.79
33,10000,3,"3000kW, Pantograph",US,330,11,3.5,0.4375,0.0314,0.0119,0.1014,0.1448,18438766.68,11297410.57
33,10000,4,"3000kW, Pantograph",US,330,9,3.5,0.5833,0.0243,0.0092,0.1014,0.135,13631118.66,11040965.53
33,10000,5,"3000kW, Pantograph",US,330,7,3.5,0.7292,0.0203,0.0076,0.1014,0.1293,10918894.93,10892363.48
33,10000,6,"3000kW, Pantograph",US,330,6,3.5,0.875,0.0178,0.0066,0.1014,0.1259,9254383.34,10797682.92
34,10000,1,"3000kW, Pantograph",US,340,34,3.5,0.1458,0.0845,0.0329,0.1014,0.2189,55866840.87,13665671.73
34,10000,2,"3000kW, Pantograph",US,340,17,3.5,0.2917,0.0447,0.0171,0.1014,0.1632,28183876.78,12142597.5
34,10000,3,"3000kW, Pantograph",US,340,12,3.5,0.4375,0.0312,0.0118,0.1014,0.1444,18812584.52,11630518.62
34,10000,4,"3000kW, Pantograph",US,340,9,3.5,0.5833,0.0247,0.0093,0.1014,0.1354,14342394.74,11381060.39
34,10000,5,"3000kW, Pantograph",US,340,7,3.5,0.7292,0.0207,0.0077,0.1014,0.1298,11574098.33,11228752.97
34,10000,6,"3000kW, Pantograph",US,340,6,3.5,0.875,0.0177,0.0065,0.1014,0.1257,9441292.26,11118439.74
35,10000,1,"3000kW, Pantograph",US,350,35,3.5,0.1458,0.0844,0.0328,0.1014,0.2187,57419207.11,14061347.13
35,10000,2,"3000kW, Pantograph",US,350,18,3.5,0.2917,0.0443,0.017,0.1014,0.1628,28744603.55,12488056.79
35,10000,3,"3000kW, Pantograph",US,350,12,3.5,0.4375,0.0309,0.0118,0.1014,0.1441,19186402.37,11963626.67
35,10000,4,"3000kW, Pantograph",US,350,9,3.5,0.5833,0.0245,0.0092,0.1014,0.1351,14622758.12,11707992.82
35,10000,5,"3000kW, Pantograph",US,350,7,3.5,0.7292,0.0206,0.0076,0.1014,0.1296,11798389.04,11551980.03
35,10000,6,"3000kW, Pantograph",US,350,6,3.5,0.875,0.0176,0.0065,0.1014,0.1255,9628201.18,11439196.55
36,10000,1,"3000kW, Pantograph",US,360,36,3.5,0.1458,0.0849,0.0329,0.1014,0.2192,59402486.04,14470184.96
36,10000,2,"3000kW, Pantograph",US,360,18,3.5,0.2917,0.0445,0.017,0.1014,0.163,29736243.02,12846678.49
36,10000,3,"3000kW, Pantograph",US,360,12,3.5,0.4375,0.0313,0.0118,0.1014,0.1445,19991132.91,12309897.14
36,10000,4,"3000kW, Pantograph",US,360,9,3.5,0.5833,0.0244,0.0091,0.1014,0.1349,14903121.51,12034925.26
36,10000,5,"3000kW, Pantograph",US,360,8,3.5,0.7292,0.0204,0.0076,0.1014,0.1294,12022679.75,11875207.1
36,10000,6,"3000kW, Pantograph",US,360,6,3.5,0.875,0.018,0.0066,0.1014,0.126,10246022.8,11773115.8
37,10000,1,"3000kW, Pantograph",US,370,37,3.5,0.1458,0.0847,0.0329,0.1014,0.219,60954852.27,14865860.37
37,10000,2,"3000kW, Pantograph",US,370,19,3.5,0.2917,0.0447,0.0171,0.1014,0.1632,30727882.48,13205300.2
37,10000,3,"3000kW, Pantograph",US,370,13,3.5,0.4375,0.031,0.0117,0.1014,0.1442,20364950.76,12643005.2
37,10000,4,"3000kW, Pantograph",US,370,10,3.5,0.5833,0.0247,0.0092,0.1014,0.1353,15614397.59,12375020.12
37,10000,5,"3000kW, Pantograph",US,370,8,3.5,0.7292,0.0203,0.0075,0.1014,0.1292,12246970.45,12198434.16
37,10000,6,"3000kW, Pantograph",US,370,7,3.5,0.875,0.0179,0.0065,0.1014,0.1258,10432931.73,12093872.61
38,10000,1,"3000kW, Pantograph",US,380,38,3.5,0.1458,0.0846,0.0328,0.1014,0.2188,62507218.51,15261535.77
38,10000,2,"3000kW, Pantograph",US,380,19,3.5,0.2917,0.0444,0.017,0.1014,0.1628,31288609.25,13550759.48
38,10000,3,"3000kW, Pantograph",US,380,13,3.5,0.4375,0.0313,0.0118,0.1014,0.1445,21169681.3,12989275.67
38,10000,4,"3000kW, Pantograph",US,380,10,3.5,0.5833,0.0246,0.0091,0.1014,0.1351,15894760.98,12701952.55
38,10000,5,"3000kW, Pantograph",US,380,8,3.5,0.7292,0.0207,0.0076,0.1014,0.1297,12902173.86,12534823.65
38,10000,6,"3000kW, Pantograph",US,380,7,3.5,0.875,0.0178,0.0064,0.1014,0.1256,10619840.65,12414629.43
39,10000,1,"3000kW, Pantograph",US,390,39,3.5,0.1458,0.0845,0.0327,0.1014,0.2187,64059584.75,15657211.18
39,10000,2,"3000kW, Pantograph",US,390,20,3.5,0.2917,0.0446,0.017,0.1014,0.163,32280248.72,13909381.19
39,10000,3,"3000kW, Pantograph",US,390,13,3.5,0.4375,0.0311,0.0117,0.1014,0.1442,21543499.15,13322383.72
