Origin-Destination SPLC,Commodity Group Name,Time Window (SmmddccyyEmmddccyy),Tons
'325580325742,CHEM_PET,S12012019E12312019,3680
'380000846776,CHEM_PET,S10012019E10312019,3280
'647000301580,CHEM_PET,S05012019E05312019,3800
'333332380000,AG_FOOD,S07012019E07312019,3720
'513658849660,AG_FOOD,S07012019E07312019,25092
'777550647000,CHEM_PET,S03012019E03312019,87380
'686152626810,CHEM_PET,S11012019E11302019,3640
'732123744300,NONMET_PRO,S09012019E09302019,8160
'622210380000,AG_FOOD,S11012019E11302019,3760
'668100883000,IM,S09012019E09302019,21360
'389970584088,NONMET_PRO,S01012019E01312019,8440
'381299584092,IM,S11012019E11302019,6720
'731183472732,COAL,S03012019E03312019,669774
'396292487282,MET_ORE,S08012019E08312019,3560
'513670840534,AG_FOOD,S06012019E06302019,4000
'657777553170,AG_FOOD,S10012019E10312019,3600
'380000876411,IM,S02012019E02282019,8640
'559970849687,AG_FOOD,S06012019E06302019,24074
'509330668200,AG_FOOD,S04012019E04302019,4200
'668200667306,CHEM_PET,S01012019E01312019,7200
'672328748540,CHEM_PET,S04012019E04302019,3760
'485650058248,MO_VEH,S06012019E06302019,960
'380002058248,CHEM_PET,S02012019E02282019,2280
'551440878372,AG_FOOD,S05012019E05312019,24674
'639840566900,NONMET_PRO,S05012019E05312019,3600
'513942689100,CHEM_PET,S06012019E06302019,3000
'584092381299,IM,S06012019E06302019,320
'538460792140,AG_FOOD,S07012019E07312019,4200
'677200883715,AG_FOOD,S06012019E06302019,1760
'384020883000,CHEM_PET,S02012019E02282019,5440
'743535845200,AG_FOOD,S06012019E06302019,4000
'744300380000,OTHER,S06012019E06302019,5200
'505915844131,AG_FOOD,S08012019E08312019,7920
'584092875640,AG_FOOD,S02012019E02282019,5280
'049810380000,MO_VEH,S04012019E04302019,3760
'689100380000,MO_VEH,S10012019E10312019,9280
'842652093768,CHEM_PET,S04012019E04302019,4400
'689100598180,OTHER,S07012019E07312019,3015
'584092875640,IM,S07012019E07312019,19640
'516964684800,CHEM_PET,S03012019E03312019,4080
'553834678683,AG_FOOD,S04012019E04302019,6684
'516123566742,AG_FOOD,S08012019E08312019,15444
'558130875894,AG_FOOD,S12012019E12312019,23868
'732114501551,NONMET_PRO,S03012019E03312019,11640
